date,operation_type,store_code,department,quantity
4/30/2021,SALE,400000038360,Dep1,5
4/30/2021,SALE,400000038155,Dep2,1
4/30/2021,SALE,400000014128,Dep1,1
4/30/2021,SALE,400000038162,Dep2,1
4/30/2021,SALE,400000034003,Dep3,1
4/30/2021,SALE,400000026282,Dep1,1
4/30/2021,SALE,400000022550,Dep1,1
4/30/2021,SALE,400000024455,Dep1,1
4/30/2021,SALE,400000003368,Dep1,1
4/30/2021,SALE,400000029108,Dep4,1
4/30/2021,SALE,400000002316,Dep1,2
4/30/2021,SALE,400000006840,Dep1,2
4/30/2021,SALE,400000037967,Dep1,4
4/30/2021,SALE,400000034942,Dep2,1
4/30/2021,SALE,400000031774,Dep2,1
4/30/2021,SALE,400000034959,Dep2,1
4/30/2021,SALE,400000036403,Dep2,1
4/30/2021,SALE,400000031781,Dep2,1
4/30/2021,SALE,400000037493,Dep1,1
4/30/2021,SALE,400000030531,Dep5,2
4/30/2021,SALE,400000035048,Dep6,1
4/30/2021,SALE,400000016917,Dep7,1
4/30/2021,SALE,400000014302,Dep2,1
4/30/2021,SALE,400000000480,Dep1,1
4/30/2021,SALE,400000000497,Dep1,3
4/30/2021,SALE,400000024615,Dep8,1
4/30/2021,SALE,400000027951,Dep1,1
4/30/2021,SALE,400000026022,Dep1,1
4/30/2021,SALE,400000028989,Dep1,1
4/30/2021,SALE,400000028972,Dep1,1
4/30/2021,SALE,400000028996,Dep1,1
4/30/2021,SALE,400000028057,Dep1,1
4/30/2021,SALE,400000002439,Dep1,1
4/30/2021,SALE,400000035529,Dep2,1
4/30/2021,SALE,400000036342,Dep9,1
4/30/2021,SALE,400000035123,Dep2,1
4/30/2021,SALE,400000001463,Dep1,1
4/30/2021,SALE,400000035659,Dep2,2
4/30/2021,SALE,400000002316,Dep1,2
4/30/2021,SALE,400000000916,Dep1,1
4/30/2021,SALE,400000005515,Dep1,1
4/30/2021,SALE,400000024493,Dep1,1
4/30/2021,SALE,400000000480,Dep1,1
4/30/2021,SALE,400000011110,Dep1,1
4/30/2021,SALE,400000035635,Dep1,1
4/30/2021,SALE,400000024950,Dep1,1
4/30/2021,SALE,400000000619,Dep1,1
4/30/2021,SALE,400000038223,Dep2,1
4/30/2021,SALE,400000035529,Dep2,1
4/30/2021,SALE,400000035116,Dep2,1
4/30/2021,SALE,400000033990,Dep3,1
4/30/2021,SALE,400000011479,Dep5,1
4/30/2021,SALE,400000035963,Dep10,1
4/30/2021,SALE,400000035659,Dep2,1
4/30/2021,SALE,400000014128,Dep1,1
4/30/2021,SALE,400000009384,Dep1,2
4/30/2021,SALE,400000035888,Dep5,1
4/30/2021,SALE,400000020563,Dep11,3
4/30/2021,SALE,400000031781,Dep2,1
4/30/2021,SALE,400000031781,Dep2,1
4/30/2021,SALE,400000028583,Dep12,1
4/30/2021,SALE,400000035536,Dep2,1
4/30/2021,SALE,400000036649,Dep2,1
4/30/2021,SALE,400000014128,Dep1,1
4/30/2021,SALE,400000037448,Dep2,1
4/30/2021,SALE,400000038353,Dep1,1
4/30/2021,SALE,400000035116,Dep2,1
4/30/2021,SALE,400000038797,Dep10,1
4/30/2021,SALE,400000035963,Dep10,1
4/30/2021,SALE,400000016214,Dep2,1
4/30/2021,SALE,400000034904,Dep2,1
4/30/2021,SALE,400000026916,Dep5,1
4/30/2021,SALE,400000038889,Dep5,1
4/30/2021,SALE,400000001913,Dep1,1
4/30/2021,SALE,400000038124,Dep2,1
4/30/2021,SALE,400000003269,Dep1,1
4/30/2021,SALE,400000001043,Dep12,1
4/30/2021,SALE,400000034874,Dep2,2
4/30/2021,SALE,400000030067,Dep2,1
4/30/2021,SALE,400000034195,Dep2,1
4/30/2021,SALE,400000035147,Dep2,1
4/30/2021,SALE,400000017297,Dep2,1
4/30/2021,SALE,400000037691,Dep2,1
4/30/2021,SALE,400000031774,Dep2,1
4/30/2021,SALE,400000033440,Dep5,2
4/30/2021,SALE,400000027272,Dep1,5
4/30/2021,SALE,400000031859,Dep2,1
4/30/2021,SALE,400000000909,Dep1,1
4/30/2021,SALE,400000011134,Dep13,1
4/30/2021,SALE,400000000480,Dep1,2
4/30/2021,SALE,400000033525,Dep5,1
4/30/2021,SALE,400000034881,Dep2,1
4/30/2021,SALE,400000031781,Dep2,1
4/30/2021,SALE,400000031798,Dep2,1
4/30/2021,SALE,400000001043,Dep12,1
4/30/2021,SALE,400000024875,Dep10,1
4/30/2021,SALE,400000002682,Dep5,1
4/30/2021,SALE,400000017235,Dep5,1
4/30/2021,SALE,400000031767,Dep2,1
4/30/2021,SALE,400000032061,Dep2,1
4/30/2021,SALE,400000005218,Dep1,2
4/30/2021,SALE,400000008905,Dep5,2
4/30/2021,SALE,400000000114,Dep14,1
4/30/2021,SALE,400000024530,Dep5,3
4/30/2021,SALE,400000028583,Dep12,1
4/30/2021,SALE,400000031781,Dep2,1
4/30/2021,SALE,400000016443,Dep9,1
4/30/2021,SALE,400000032856,Dep2,1
4/30/2021,SALE,400000034928,Dep2,1
4/30/2021,SALE,400000007656,Dep15,1
4/30/2021,SALE,400000001463,Dep1,1
4/30/2021,SALE,400000030364,Dep14,5
4/30/2021,SALE,400000036649,Dep2,1
4/30/2021,SALE,400000036229,Dep10,1
